edge,node1,node2,cor
UNr11|UNd11,UNr11,UNd11,-0.4425143676434487
UNiD11|UNd11,UNiD11,UNd11,0.8821718140510674
UNHmax11|UNSTP11,UNHmax11,UNSTP11,0.9976978305066231
UNHmax11|Bra037542,UNHmax11,Bra037542,-0.6468622464872695
UNSTP11|Bra037542,UNSTP11,Bra037542,-0.6520945052728897
UNHmax11|UNiD11,UNHmax11,UNiD11,0.497716615640568
UNiD11|UNSTP11,UNiD11,UNSTP11,0.49828165852616413
UNHmax11|Bra008430,UNHmax11,Bra008430,-0.6050714738357178
UNd11|UNSTP11,UNd11,UNSTP11,0.4433650130992649
UNHmax11|Bra006755_Bra006756,UNHmax11,Bra006755_Bra006756,-0.599897102731147
UNSTP11|Bra006755_Bra006756,UNSTP11,Bra006755_Bra006756,-0.606403217252489
UNr11|Bra028410,UNr11,Bra028410,-0.3659319897919217
UNHmax11|Bra039792,UNHmax11,Bra039792,-0.5792705385584715
UNHmax11|Bra025250,UNHmax11,Bra025250,-0.6402993975373411
UNSTP11|Bra025250,UNSTP11,Bra025250,-0.6437765334670567
UNSTP11|Bra006694,UNSTP11,Bra006694,-0.5290549385678199
UNSTP11|Bra008430,UNSTP11,Bra008430,-0.6034818292106966
Bra025250|Bra008430,Bra025250,Bra008430,0.727998615820433
UNHmax11|UNd11,UNHmax11,UNd11,0.43855359206650407
UNHmax11|Bra032711,UNHmax11,Bra032711,-0.6206604547441371
UNSTP11|Bra032711,UNSTP11,Bra032711,-0.6260297548787013
UNr11|Bra025296,UNr11,Bra025296,-0.34635789502357944
UNHmax11|Bra028781,UNHmax11,Bra028781,0.5426324245655934
UNSTP11|Bra028781,UNSTP11,Bra028781,0.5524082212718988
UNr11|Bra032157,UNr11,Bra032157,-0.34782666169486004
UNr11|Bra034353,UNr11,Bra034353,0.3584820888203841
Bra032157|Bra034353,Bra032157,Bra034353,-0.7716540403169792
UNd11|Bra038094,UNd11,Bra038094,0.3912039658976113
