graph,edge,MR_Cutoff,node1,node2,cor
blup.mr.graph.UN.2012.10,UNd12|Bra012899,10,UNd12,Bra012899,-0.5818453830563289
blup.mr.graph.UN.2012.10,UNHmax12|Bra038899,10,UNHmax12,Bra038899,-0.6555052036881075
blup.mr.graph.UN.2012.10,UNHmax12|UNd12,10,UNHmax12,UNd12,0.7714624618973289
blup.mr.graph.UN.2012.10,UNHmax12|UNiD12,10,UNHmax12,UNiD12,0.7917306980709263
blup.mr.graph.UN.2012.10,UNiD12|UNd12,10,UNiD12,UNd12,0.9743824085290976
blup.mr.graph.UN.2012.20,Bra008575|Bra008566,20,Bra008575,Bra008566,-0.7613550709964456
blup.mr.graph.UN.2012.20,Bra008575|Bra008577,20,Bra008575,Bra008577,0.9459445441252785
blup.mr.graph.UN.2012.20,Bra008575|Bra013959,20,Bra008575,Bra013959,0.8927203005519556
blup.mr.graph.UN.2012.20,Bra008577|Bra008566,20,Bra008577,Bra008566,-0.79702626750083
blup.mr.graph.UN.2012.20,Bra008637|Bra008566,20,Bra008637,Bra008566,-0.7066466001288921
blup.mr.graph.UN.2012.20,Bra008637|Bra008575,20,Bra008637,Bra008575,0.8689880518135839
blup.mr.graph.UN.2012.20,Bra008637|Bra008577,20,Bra008637,Bra008577,0.8820606956694003
blup.mr.graph.UN.2012.20,Bra008637|Bra013959,20,Bra008637,Bra013959,0.8491169000714257
blup.mr.graph.UN.2012.20,Bra013959|Bra008566,20,Bra013959,Bra008566,-0.7591374554638224
blup.mr.graph.UN.2012.20,Bra013959|Bra008577,20,Bra013959,Bra008577,0.918590667214169
blup.mr.graph.UN.2012.20,Bra022867|Bra023009,20,Bra022867,Bra023009,-0.6605320912256125
blup.mr.graph.UN.2012.20,UNd12|Bra008566,20,UNd12,Bra008566,0.6598149029303639
blup.mr.graph.UN.2012.20,UNd12|Bra008575,20,UNd12,Bra008575,-0.6612693071168388
blup.mr.graph.UN.2012.20,UNd12|Bra008577,20,UNd12,Bra008577,-0.6606211703094672
blup.mr.graph.UN.2012.20,UNd12|Bra008840,20,UNd12,Bra008840,0.6392691375737704
blup.mr.graph.UN.2012.20,UNd12|Bra008859,20,UNd12,Bra008859,-0.6343669328516612
blup.mr.graph.UN.2012.20,UNd12|Bra013959,20,UNd12,Bra013959,-0.642403909811986
blup.mr.graph.UN.2012.20,UNd12|Bra025790,20,UNd12,Bra025790,-0.7152761094919586
