edge,node1,node2,cor
UNr11|UNd11,UNr11,UNd11,-0.4425143676434487
UNiD11|UNd11,UNiD11,UNd11,0.8821718140510674
UNHmax11|UNHmax12,UNHmax11,UNHmax12,0.863748979229709
UNiD11|UNiD12,UNiD11,UNiD12,0.56218887097651
UNHmax12|UNiD12,UNHmax12,UNiD12,0.7917306980709263
UNHmax12|UNd12,UNHmax12,UNd12,0.7714624618973289
UNiD12|UNd12,UNiD12,UNd12,0.9743824085290976
UNd12|Bra008575,UNd12,Bra008575,-0.6612693071168388
UNd12|Bra008577,UNd12,Bra008577,-0.6606211703094672
Bra008575|Bra008577,Bra008575,Bra008577,0.9459445441252785
UNHmax12|Bra006755_Bra006756,UNHmax12,Bra006755_Bra006756,-0.6711117438005
UNiD12|Bra008566,UNiD12,Bra008566,0.6506020778220084
UNd12|Bra008566,UNd12,Bra008566,0.6598149029303639
Bra008575|Bra008566,Bra008575,Bra008566,-0.7613550709964456
Bra008577|Bra008566,Bra008577,Bra008566,-0.79702626750083
UNd12|Bra008840,UNd12,Bra008840,0.6392691375737704
UNiD12|Bra036465,UNiD12,Bra036465,0.664284148134718
UNiD12|Bra012899,UNiD12,Bra012899,-0.5758433936102789
UNd12|Bra012899,UNd12,Bra012899,-0.5818453830563289
UNHmax12|Bra038899,UNHmax12,Bra038899,-0.6555052036881075
UNHmax11|Bra037542,UNHmax11,Bra037542,-0.6468622464872695
UNd12|Bra025790,UNd12,Bra025790,-0.7152761094919586
UNHmax11|UNiD11,UNHmax11,UNiD11,0.497716615640568
UNiD11|UNd12,UNiD11,UNd12,0.5490236942448268
UNr12|UNd12,UNr12,UNd12,-0.5084587804798011
UNiD12|Bra008637,UNiD12,Bra008637,-0.636789739944467
UNd12|Bra008637,UNd12,Bra008637,-0.6356729648471278
UNiD12|Bra028216,UNiD12,Bra028216,-0.631409125964095
UNd12|Bra028216,UNd12,Bra028216,-0.6367701348633801
Bra008637|Bra028216,Bra008637,Bra028216,0.9904919177144587
