.id,trait,eigen_eQTL_candidate,min_eQTL_LOD,max_eQTL_LOD,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score,FVTtrait
QTL3,UN_MEbrown,Bra002773,6.0521646896772845,7.223827759505569,A10,7768223,7770615,AT5G57010.1,AT5G57010,"NA","NA",83.064,1547,180,15,104,1627,1,1488,0,1615,UNr2012
QTL7,UN_MEbrown,Bra002773,6.0521646896772845,7.223827759505569,A10,7768223,7770615,AT5G57010.1,AT5G57010,"NA","NA",83.064,1547,180,15,104,1627,1,1488,0,1615,UNHmax2012
QTL3,UN_MEbrown,Bra002772,6.0521646896772845,7.223827759505569,A10,7771073,7771283,AT3G57720.1,AT3G57720,"NA","NA",80.513,195,38,0,16,210,852,658,1.66e-45,181,UNr2012
QTL7,UN_MEbrown,Bra002772,6.0521646896772845,7.223827759505569,A10,7771073,7771283,AT3G57720.1,AT3G57720,"NA","NA",80.513,195,38,0,16,210,852,658,1.66e-45,181,UNHmax2012
QTL3,UN_MEbrown,Bra002771,6.0521646896772845,7.223827759505569,A10,7772749,7776152,AT5G57015.1,AT5G57015,ckl12,"NA",88.914,1308,139,1,296,1597,1,1308,0,1707,UNr2012
QTL7,UN_MEbrown,Bra002771,6.0521646896772845,7.223827759505569,A10,7772749,7776152,AT5G57015.1,AT5G57015,ckl12,"NA",88.914,1308,139,1,296,1597,1,1308,0,1707,UNHmax2012
QTL3,UN_MEbrown,Bra002770,6.0521646896772845,7.223827759505569,A10,7777549,7778836,AT5G57020.1,AT5G57020,ATNMT1;NMT1,Arabidopsis thaliana myristoyl-CoA:protein N-myristoyltransferase.,85.041,1230,184,0,216,1445,76,1305,0,1389,UNr2012
QTL7,UN_MEbrown,Bra002770,6.0521646896772845,7.223827759505569,A10,7777549,7778836,AT5G57020.1,AT5G57020,ATNMT1;NMT1,Arabidopsis thaliana myristoyl-CoA:protein N-myristoyltransferase.,85.041,1230,184,0,216,1445,76,1305,0,1389,UNHmax2012
QTL3,UN_MEbrown,Bra002769,6.0521646896772845,7.223827759505569,A10,7779742,7782587,AT5G57030.1,AT5G57030,LUT2,"Lutein-deficient 2 (LUT2) required for lutein biosynthesis, member of the xanthophyll class of carotenoids. Encodes lycopene epsilon cyclase",87.703,1602,161,5,201,1793,1,1575,0,2012,UNr2012
QTL7,UN_MEbrown,Bra002769,6.0521646896772845,7.223827759505569,A10,7779742,7782587,AT5G57030.1,AT5G57030,LUT2,"Lutein-deficient 2 (LUT2) required for lutein biosynthesis, member of the xanthophyll class of carotenoids. Encodes lycopene epsilon cyclase",87.703,1602,161,5,201,1793,1,1575,0,2012,UNHmax2012
