.id,trait,eQTL_chrom,eQTL_start_bp,eQTL_end_bp,eQTL_start_cM,eQTL_end_cM,eigen_eQTL_candidate,min_eQTL_LOD,max_eQTL_LOD,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score,FVTtrait
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002956,2.7359766048183416,3.711006758768063,A10,6554051,6555544,AT5G54790.1,AT5G54790,"NA","NA",80.962,520,75,4,139,658,496,1,2.33e-139,495,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002955,2.7359766048183416,3.711006758768063,A10,6594866,6597629,AT5G54800.1,AT5G54800,ATGPT1;GPT1,Encodes glucose6-Phosphate/phosphate transporter 1.  Essential for pollen maturation and embryo sac development.,86.294,1182,132,6,362,1528,1,1167,0,1402,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002954,2.7359766048183416,3.711006758768063,A10,6598618,6600783,AT5G54810.1,AT5G54810,ATTSB1;TRP2;TRPB;TSB1,A.thaliana tryptophan synthase beta subunit (trpB),90.304,1413,122,3,183,1580,1413,1,0,1930,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra102258,2.7359766048183416,3.711006758768063,A10,6604382,6604574,AT3G29575.1,AT3G29575,AFP3,"NA",87.179,156,20,0,1,156,696,541,6.55e-49,192,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002953,2.7359766048183416,3.711006758768063,A10,6608422,6610840,AT5G54840.1,AT5G54840,ATSGP1;SGP1,"Monomeric G protein. Expressed in the root quiescent center, flowers, and leaf guard cells and hydathodes.",88.812,867,85,1,155,1009,867,1,0,1133,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002951,2.7359766048183416,3.711006758768063,A10,6619105,6620888,AT5G54850.1,AT5G54850,"NA","NA",86.788,386,39,1,368,741,386,1,1.11e-132,473,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002950,2.7359766048183416,3.711006758768063,A10,6620917,6622510,AT5G54855.1,AT5G54855,"NA","NA",87.075,441,57,0,203,643,1,441,2.56e-152,538,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002949,2.7359766048183416,3.711006758768063,A10,6623741,6626795,AT5G54860.1,AT5G54860,"NA","NA",89.16,1476,160,0,185,1660,1,1476,0,1941,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002948,2.7359766048183416,3.711006758768063,A10,6628185,6630881,AT5G54870.1,AT5G54870,"NA","NA",86.529,1596,209,3,41,1630,1,1596,0,1902,UNHmax2012
QTL7,UN_MEblue,A10,3289895,13525927,0,73.8785977825633,Bra002947,2.7359766048183416,3.711006758768063,A10,6631332,6633981,AT5G54900.1,AT5G54900,ATRBP45A;RBP45A,"NA",79.946,1117,191,8,190,1294,69,1164,0,998,UNHmax2012
