.id,MR_gene,MR_Cutoff,min_eQTL_LOD,max_eQTL_LOD,FVTtrait,eQTL_candidate,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029139,A03,6524977,6527170,AT5G52110.1,AT5G52110,CCB2;HCF208,NA,85.544,837,106,2,102,932,1,828,0,969
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029140,A03,6526863,6528641,AT5G52100.1,AT5G52100,CRR1,"Is essential for chloroplast NAD(P)H dehydrogenase activity, which is involved in electron transfer between PSII and PSI. Likely functions in biogenesis or stabilization of the NAD(P)H dehydrogenase complex.",92.47,903,62,1,1,903,897,1,0,1323
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029141,A03,6530132,6536901,AT5G52070.1,AT5G52070,NA,NA,68.576,576,159,12,274,837,585,20,5.47e-47,188
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029142,A03,6545810,6548257,AT5G52060.1,AT5G52060,ATBAG1;BAG1,"A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development.",83.868,1029,121,6,585,1574,7,1029,0,1121
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra100573,A03,6554431,6555244,AT3G03790.2,AT3G03790,NA,NA,86.735,196,26,0,1,196,1627,1822,2.29e-62,237
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029145,A03,6560958,6562714,AT5G52050.1,AT5G52050,NA,NA,79.085,1530,288,8,178,1694,1518,8,0,1310
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029146,A03,6567831,6570515,AT5G52040.1,AT5G52040,At-RS41;ATRSP41;RS41,"encodes an arginine/serine-rich splicing factor. transcript is alternatively spliced and is differentially expressed in different tissues (flowers, roots, stems, and leaves) examined.",81.216,1102,154,17,229,1308,1071,1,0,1025
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029147,A03,6576797,6577621,AT5G52020.1,AT5G52020,NA,encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.,74.576,708,102,10,112,750,1,699,3.04e-138,491
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029148,A03,6578309,6580276,AT5G52010.1,AT5G52010,NA,NA,79.766,1196,208,8,224,1390,1,1191,0,1061
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029149,A03,6580630,6583080,AT5G51980.1,AT5G51980,NA,NA,82.154,1328,189,8,169,1472,1,1304,0,1333
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029150,A03,6583136,6583310,AT5G51970.1,AT5G51970,NA,Encodes a putative sorbitol dehydrogenase that can be thiolated in vitro.,89.881,168,17,0,7,174,654,487,3.61e-59,226
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029151,A03,6584684,6587197,AT5G51950.1,AT5G51950,NA,NA,85.982,1762,239,3,1,1755,1,1761,0,2058
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029152,A03,6588294,6590346,AT5G51950.1,AT5G51950,NA,NA,75.629,1629,338,6,229,1799,1727,100,0,1175
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029153,A03,6597538,6599433,AT1G62170.1,AT1G62170,NA,NA,75.152,1312,282,14,17,1306,7,1296,0,874
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029154,A03,6600127,6603755,AT5G51870.3,AT5G51870,AGL71,NA,82.504,663,110,2,266,925,1,660,0,670
QTL1,Bra026943,30,84.16335929139599,84.16335929139599,UN_r,Bra029155,A03,6610492,6613252,AT5G51860.2,AT5G51860,AGL72,NA,86.789,598,73,1,341,938,1,592,0,724
QTL1,Bra029099,50,59.98955573594143,59.98955573594143,UN_r,Bra029075,A03,6226990,6229080,AT5G53320.1,AT5G53320,NA,NA,84.361,1816,247,10,99,1891,1,1802,0,1983
QTL1,Bra029099,50,59.98955573594143,59.98955573594143,UN_r,Bra029076,A03,6229955,6231513,AT5G53300.1,AT5G53300,UBC10,Encodes a ubiquitin conjugating enzyme.,93.905,443,27,0,181,623,1,443,0,677
QTL1,Bra029099,50,59.98955573594143,59.98955573594143,UN_r,Bra029079,A03,6250806,6252396,AT5G53290.1,AT5G53290,CRF3,encodes a member of the ERF (ethylene response factor) subfamily B-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.,75.14,1074,187,16,309,1315,5,1065,0,733
