"",".id","MR_Cutoff","trt","name","chrom","start","end","subject","AGI","At_symbol","At_description","perc_ID","aln_length","mismatch","gap_open","qstart","qend","sstart","send","eval","score"
"1","blup.mr.graph.UN.10",10,"UN","Bra037542","A01",20927607,20928214,"AT3G19030.1","AT3G19030",NA,NA,87.432,183,23,0,106,288,1,183,1.4e-58,226
"2","blup.mr.graph.UN.10",10,"UN","Bra012899","A03",21658875,21660326,"AT3G50440.1","AT3G50440","ATMES10;MES10","Encodes a protein shown to have methyl jasmonate esterase activity in vitro. This protein does not act on methyl IAA, MeSA, MeGA4, or MEGA9 in vitro.",85.797,859,118,3,127,982,865,8,0,989
"3","blup.mr.graph.UN.20",20,"UN","Bra038899","A01",15641416,15643341,"AT3G51430.1","AT3G51430","SSL5;YLS2","Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity.",81.047,1108,203,5,297,1402,1103,1,0,1036
"4","blup.mr.graph.UN.20",20,"UN","Bra037542","A01",20927607,20928214,"AT3G19030.1","AT3G19030",NA,NA,87.432,183,23,0,106,288,1,183,1.4e-58,226
"5","blup.mr.graph.UN.20",20,"UN","Bra006755_Bra006756","A03",4918760,4925611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","blup.mr.graph.UN.20",20,"UN","Bra022867","A03",7480730,7484921,"AT2G31810.1","AT2G31810",NA,NA,87.221,1479,150,5,161,1603,1,1476,0,1828
"7","blup.mr.graph.UN.20",20,"UN","Bra023009","A03",8219083,8221040,"AT2G43590.1","AT2G43590",NA,NA,79.128,757,140,5,1,745,795,45,0,646
"8","blup.mr.graph.UN.20",20,"UN","Bra012899","A03",21658875,21660326,"AT3G50440.1","AT3G50440","ATMES10;MES10","Encodes a protein shown to have methyl jasmonate esterase activity in vitro. This protein does not act on methyl IAA, MeSA, MeGA4, or MEGA9 in vitro.",85.797,859,118,3,127,982,865,8,0,989
"9","blup.mr.graph.UN.20",20,"UN","Bra025790","A06",7732370,7732955,"AT1G20070.1","AT1G20070",NA,NA,82.149,549,86,4,177,719,582,40,1.87e-153,542
"10","blup.mr.graph.UN.20",20,"UN","Bra036465","A07",224092,228427,"AT2G20340.1","AT2G20340","AAS;AtAAS",NA,87.361,1440,182,0,1,1440,1473,34,0,1777
"11","blup.mr.graph.UN.20",20,"UN","Bra008566","A10",11646341,11651597,"AT5G17270.1","AT5G17270",NA,NA,87.532,2703,322,4,1,2691,2700,1,0,3351
"12","blup.mr.graph.UN.20",20,"UN","Bra008575","A10",11686976,11687928,"AT5G17170.1","AT5G17170","ENH1",NA,92.263,517,40,0,13,529,807,291,0,753
"13","blup.mr.graph.UN.20",20,"UN","Bra008577","A10",11695926,11696813,"AT5G17150.1","AT5G17150",NA,NA,75.276,453,108,2,106,556,145,595,6.21e-83,307
"14","blup.mr.graph.UN.20",20,"UN","Bra008637","A10",11990050,11990676,"AT5G66450.1","AT5G66450","LPPepsilon2",NA,87.097,93,9,1,1,93,861,772,1.34e-24,113
"15","blup.mr.graph.UN.20",20,"UN","Bra008840","A10",12861652,12867286,"AT5G13280.1","AT5G13280","AK;AK-LYS1;AK1","Asp kinase inhibited by Lys and S-adenosylmethionine. Contains regulatory domains that belong to the ACT domain family, which allow binding to a extreme variety  of ligands. Can function as a monomer or as a dimer with acetohydroxyacid synthase (HSDH).",87.796,1729,172,5,2378,4088,1710,3,0,2179
"16","blup.mr.graph.UN.20",20,"UN","Bra008859","A10",12969157,12970663,"AT5G13070.1","AT5G13070",NA,NA,90.399,552,53,0,226,777,552,1,0,756
"17","blup.mr.graph.UN.30",30,"UN","Bra011761","A01",688837,690803,"AT4G37430.1","AT4G37430","CYP81F1;CYP91A2","Encodes a member of the CYP81F cytochrome P450 monooxygenase subfamily.",82.71,1498,251,4,188,1678,1497,1,0,1523
