.id,MR_gene,MR_Cutoff,eQTL_start_bp,eQTL_end_bp,min_eQTL_LOD,max_eQTL_LOD,eQTL_candidate,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score,FVTtrait,MR_chrom,MR_pos,eQTL_chrom,eQTL_start_cM,eQTL_end_cM
QTL1,Bra026943,30,6602094,6622094,85.56322840765755,85.56322840765755,Bra029155,A03,6610492,6613252,AT5G51860.2,AT5G51860,AGL72,"NA",86.789,598,73,1,341,938,1,592,0,724,UNr2012,A09,36179669,A03,39.590429644006804,39.590429644006804
QTL1,Bra029099,50,6302505,6322505,59.98955573594143,59.98955573594143,Bra029089,A03,6306623,6308221,AT5G53200.1,AT5G53200,TRY,"NA",93.506,154,10,0,958,1111,154,1,2.03e-60,233,UNr2012,A03,6354292,A03,37.07572383964639,37.07572383964639
QTL1,Bra029099,50,6302505,6322505,59.98955573594143,59.98955573594143,Bra029090,A03,6315995,6316671,AT5G53190.1,AT5G53190,AtSWEET3;SWEET3,"NA",76.573,286,46,6,258,529,501,779,1.52e-52,206,UNr2012,A03,6354292,A03,37.07572383964639,37.07572383964639
QTL1,Bra029111,50,6386360,6417941,46.21831495293252,46.21831495293252,Bra029105,A03,6390840,6392820,AT5G52870.1,AT5G52870,MAKR5,"NA",73.255,1017,167,16,110,1057,1,981,7.76e-180,630,UNr2012,A03,6416996,A03,37.930467001672,38.351937314680896
QTL1,Bra029111,50,6386360,6417941,46.21831495293252,46.21831495293252,Bra029106,A03,6398093,6400282,AT5G52840.1,AT5G52840,"NA","NA",88.063,511,58,1,239,749,508,1,0,645,UNr2012,A03,6416996,A03,37.930467001672,38.351937314680896
QTL1,Bra029111,50,6386360,6417941,46.21831495293252,46.21831495293252,Bra029107,A03,6403151,6404298,AT5G52760.1,AT5G52760,"NA","NA",74.25,400,76,9,292,685,379,1,9.67e-63,241,UNr2012,A03,6416996,A03,37.930467001672,38.351937314680896
QTL1,Bra029111,50,6386360,6417941,46.21831495293252,46.21831495293252,Bra029108,A03,6407348,6410244,AT2G25840.1,AT2G25840,OVA4,"NA",87.196,1070,130,3,214,1278,1209,142,0,1305,UNr2012,A03,6416996,A03,37.930467001672,38.351937314680896
QTL1,Bra029111,50,6386360,6417941,46.21831495293252,46.21831495293252,Bra029109,A03,6411684,6412278,AT5G52670.1,AT5G52670,"NA","NA",84.641,306,47,0,4,309,306,1,4.32e-93,340,UNr2012,A03,6416996,A03,37.930467001672,38.351937314680896
QTL1,Bra029111,50,6386360,6417941,46.21831495293252,46.21831495293252,Bra100572,A03,6411684,6412126,AT3G02970.1,AT3G02970,EXL6,"NA",85.907,518,64,2,15,526,521,7,1.2e-172,605,UNr2012,A03,6416996,A03,37.930467001672,38.351937314680896
QTL1,Bra022867,20,7327941,7347941,36.97448095793617,36.97448095793617,Bra022833,A03,7332379,7335470,AT3G01610.1,AT3G01610,CDC48C;emb1354,AAA-type ATPase - Over 90% homologous to CDC48a,80.033,1798,322,12,166,1946,2461,684,0,1604,UNr2012,A03,7482825,A03,41.29236474593,41.29236474593
QTL1,Bra022867,20,7327941,7347941,36.97448095793617,36.97448095793617,Bra022834,A03,7336734,7339201,AT2G31270.1,AT2G31270,ATCDT1A;CDT1;CDT1A,Encodes a cyclin-dependent protein kinase. Involved in nuclear DNA replication and plastid division. Located in nucleus and chloroplast.,79.684,822,137,4,971,1780,911,1714,0,738,UNr2012,A03,7482825,A03,41.29236474593,41.29236474593
QTL1,Bra022867,20,7327941,7347941,36.97448095793617,36.97448095793617,Bra022835,A03,7340164,7340383,AT2G31345.1,AT2G31345,"NA","NA",83.173,208,29,1,12,219,205,4,6.93e-57,219,UNr2012,A03,7482825,A03,41.29236474593,41.29236474593
QTL1,Bra022867,20,7327941,7347941,36.97448095793617,36.97448095793617,Bra022836,A03,7342133,7344379,AT2G31350.1,AT2G31350,GLX2-5,Encodes a mitochondrial glyoxalase 2 that can accommodate a number of different metal centers and with the predominant metal center being Fe(III)Zn(II).,89.162,978,103,1,178,1155,1,975,0,1285,UNr2012,A03,7482825,A03,41.29236474593,41.29236474593
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029092,A03,6323297,6325131,AT5G53170.1,AT5G53170,FTSH11,encodes an FtsH protease that is localized to the chloroplast and the mitochondrion,86.31,168,22,1,129,295,1908,2075,1.79e-49,196,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029093,A03,6325490,6327836,AT5G53160.2,AT5G53160,PYL8;RCAR3,"Encodes RCAR3, a regulatory component of ABA receptor.  Interacts with protein phosphatase 2Cs ABI1 and ABI2.  Stimulates ABA signaling.",88.868,521,55,1,576,1096,553,36,0,677,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029094,A03,6333703,6334992,AT3G21910.1,AT3G21910,"NA","NA",66.914,807,192,20,149,889,1,798,1.99e-59,230,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029095,A03,6336136,6339635,AT5G53140.1,AT5G53140,"NA","NA",83.651,1260,140,9,334,1545,1263,22,0,1362,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029096,A03,6340364,6343367,AT5G53100.1,AT5G53100,"NA","NA",86.489,1088,144,1,164,1248,1094,7,0,1297,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029097,A03,6345482,6346430,AT5G03000.1,AT5G03000,"NA","NA",72.085,283,67,6,103,379,311,587,8.86e-32,138,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029098,A03,6347458,6349560,AT5G53635.1,AT5G53635,"NA","NA",68.043,920,206,16,603,1499,857,3,7.31e-93,342,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029099,A03,6352615,6355969,AT5G53050.2,AT5G53050,"NA","NA",84.502,1084,144,3,72,1143,120,1191,0,1205,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029100,A03,6355997,6357229,AT5G53045.1,AT5G53045,"NA","NA",86.713,286,38,0,124,409,1,286,2.46e-94,345,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029101,A03,6359444,6361136,AT5G52900.1,AT5G52900,MAKR6,"NA",85.345,696,87,4,287,970,16,708,0,791,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029102,A03,6370825,6371339,AT5G52890.1,AT5G52890,"NA","NA",83.333,180,30,0,246,425,765,944,7.21e-48,190,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029103,A03,6372581,6373981,AT1G54400.1,AT1G54400,"NA","NA",81.341,552,103,0,216,767,552,1,3.64e-150,531,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029104,A03,6382386,6387497,AT5G52882.1,AT5G52882,"NA","NA",89.516,2499,226,4,589,3060,1,2490,0,3341,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029105,A03,6390840,6392820,AT5G52870.1,AT5G52870,MAKR5,"NA",73.255,1017,167,16,110,1057,1,981,7.76e-180,630,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029106,A03,6398093,6400282,AT5G52840.1,AT5G52840,"NA","NA",88.063,511,58,1,239,749,508,1,0,645,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029107,A03,6403151,6404298,AT5G52760.1,AT5G52760,"NA","NA",74.25,400,76,9,292,685,379,1,9.67e-63,241,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029108,A03,6407348,6410244,AT2G25840.1,AT2G25840,OVA4,"NA",87.196,1070,130,3,214,1278,1209,142,0,1305,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029109,A03,6411684,6412278,AT5G52670.1,AT5G52670,"NA","NA",84.641,306,47,0,4,309,306,1,4.32e-93,340,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra100572,A03,6411684,6412126,AT3G02970.1,AT3G02970,EXL6,"NA",85.907,518,64,2,15,526,521,7,1.2e-172,605,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029111,A03,6415599,6418393,AT5G52660.1,AT5G52660,"NA","NA",87.855,881,92,5,84,961,123,991,0,1097,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029112,A03,6418833,6420161,AT4G25740.1,AT4G25740,"NA","NA",82.784,546,70,6,81,614,1,534,9.68e-158,556,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029113,A03,6422082,6422945,AT5G52600.1,AT5G52600,AtMYB82;MYB82,Member of the R2R3 factor gene family.,83.498,606,78,9,18,610,10,606,2.38e-177,621,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029114,A03,6428106,6431282,AT5G52540.1,AT5G52540,"NA","NA",83.547,1404,204,7,41,1435,1,1386,0,1483,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029115,A03,6432660,6433709,AT5G52440.1,AT5G52440,HCF106,HCF106; nuclear gene for chloroplast. Thylakoid membrane delta pH translocation pathway component protein; related to Escherichia coli TatA and TatB,83.173,208,26,1,177,375,709,502,3.75e-57,221,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029116,A03,6438159,6439580,AT5G52440.1,AT5G52440,HCF106,HCF106; nuclear gene for chloroplast. Thylakoid membrane delta pH translocation pathway component protein; related to Escherichia coli TatA and TatB,82.129,789,90,7,215,958,783,1,0,801,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029117,A03,6442066,6444647,AT5G52400.1,AT5G52400,CYP715A1,member of CYP715A,89.184,1544,161,2,2,1539,1559,16,0,2028,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029118,A03,6453932,6455935,AT5G52380.1,AT5G52380,"NA","NA",82.482,822,111,6,309,1112,1,807,0,836,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029119,A03,6456516,6457915,AT5G52360.1,AT5G52360,ADF10,"NA",89.855,414,42,0,186,599,1,414,2.65e-158,558,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029120,A03,6460580,6462077,AT5G52320.1,AT5G52320,CYP96A4,member of CYP96A,84.427,1509,223,1,1,1497,1,1509,0,1669,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029121,A03,6463557,6466025,AT5G52300.1,AT5G52300,LTI65;RD29B,"encodes a protein that is induced in expression in response to water deprivation such as cold, high-salt, and dessication. The response appears to be via abscisic acid. The promoter region contains two ABA-responsive elements (ABREs) that are required for the dehydration-responsive expression of rd29B as cis-acting elements. Protein is a member of a gene family with other members found plants, animals and fungi.",75.105,948,168,12,184,1097,1860,947,0,654,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029123,A03,6474330,6476223,AT5G53080.1,AT5G53080,"NA","NA",69.965,283,43,6,211,451,345,63,5.7e-32,138,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029124,A03,6479065,6480481,AT1G54270.1,AT1G54270,EIF4A-2,member of eIF4A - eukaryotic initiation factor 4A,89.5,1219,125,1,15,1233,24,1239,0,1620,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029125,A03,6481964,6482351,AT1G73150.1,AT1G73150,GTE3,Bromodomain and extra terminal domain family protein. Binds to acetyl-histone H3. Binding is reduced when GTE3 is SUMOylated by SIZ1.,70.336,327,43,7,14,286,464,138,5.89e-42,170,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029127,A03,6488447,6494399,AT5G52290.1,AT5G52290,SHOC1,Encodes a protein with similarity to  XPF endonucleases. Loss of function mutations have defects in meiosis- specifically a reduction in the number of chiasmata. As a result both pollen and embryo sacs are abnormal and plants have severely reduced fertility.,82.992,4886,662,23,1,4818,1,4785,0,5113,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029128,A03,6496038,6496997,AT5G52270.1,AT5G52270,"NA","NA",85.487,503,73,0,1,503,1,503,1.86e-164,578,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029129,A03,6496911,6498454,AT5G52260.1,AT5G52260,AtMYB19;MYB19,Member of the R2R3 factor gene family.,84.932,803,103,4,447,1234,800,1,0,901,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029130,A03,6500909,6501989,AT5G46630.1,AT5G46630,AP2M,"clathrin adaptor complexes medium subunit family protein, contains Pfam profile: PF00928 adaptor complexes medium subunit family; similar to micro-adaptins of clathrin coated vesicle adaptor complexes",89.444,180,19,0,236,415,262,83,3.37e-62,239,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029131,A03,6502909,6504409,AT5G52250.1,AT5G52250,EFO1;RUP1,Encodes a transducin protein whose gene expression is induced by UV-B. This induction is reduced in hy5 mutant and may be a target of HY5 during UV-B response.,83.793,1160,154,11,88,1229,1144,1,0,1225,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029132,A03,6505448,6507133,AT5G52210.1,AT5G52210,ATARLB1;ATGB1;GB1,"A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.",87.702,618,76,0,232,849,618,1,0,773,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029133,A03,6507237,6509036,AT5G52200.1,AT5G52200,AtI-2;I-2,"NA",77.273,550,72,14,128,649,1,525,7.33e-115,414,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029134,A03,6509653,6513759,AT5G52190.1,AT5G52190,"NA","NA",79.68,625,115,3,62,674,1,625,1.16e-156,553,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029135,A03,6513744,6514324,AT5G52160.1,AT5G52160,"NA","NA",83.658,257,36,1,196,446,291,35,2.94e-73,275,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029137,A03,6518923,6523124,AT5G52120.1,AT5G52120,AtPP2-A14;PP2-A14,"NA",89.714,875,87,1,345,1216,1,875,0,1171,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029139,A03,6524977,6527170,AT5G52110.1,AT5G52110,CCB2;HCF208,"NA",85.544,837,106,2,102,932,1,828,0,969,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029140,A03,6526863,6528641,AT5G52100.1,AT5G52100,CRR1,"Is essential for chloroplast NAD(P)H dehydrogenase activity, which is involved in electron transfer between PSII and PSI. Likely functions in biogenesis or stabilization of the NAD(P)H dehydrogenase complex.",92.47,903,62,1,1,903,897,1,0,1323,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
QTL1,Bra029100,50,6322505,6622094,28.526296704179007,30.055785269513915,Bra029141,A03,6530132,6536901,AT5G52070.1,AT5G52070,"NA","NA",68.576,576,159,12,274,837,585,20,5.47e-47,188,UNr2012,A03,6356613,A03,37.07572383964639,39.590429644006804
